dataset,n_clusters,n_init,affinity,n_neighbors,assign_labels,imputation,dataset_type,Train_time,rand_score,adjusted_rand_score,silhouette_score,adjusted_mutual_info_score,normalized_mutual_info_score
disk_4600n.csv,23,15,nearest_neighbors,38,kmeans,None,Synthetic,4.312078269998892,0.21723257418909592,0.010676017450231758,0.3290112053864398,0.11499022410626723,0.11623187346414668
disk_4600n.csv,8,20,rbf,30,kmeans,None,Synthetic,7.409771537990309,0.30240004916002533,0.05707151996565782,0.3769061498349596,0.2481977075962368,0.24867544033471667
disk_4600n.csv,8,13,nearest_neighbors,16,kmeans,None,Synthetic,2.4615213759971084,0.3000716601907787,0.053907970690058274,0.3733396240283777,0.23645492900820214,0.23694012701229278
disk_4600n.csv,7,6,nearest_neighbors,16,discretize,None,Synthetic,0.7569741269981023,0.271461943522694,-0.0009243729297512425,0.36126897898244215,0.008493882948964027,0.00906612666092118
disk_4600n.csv,19,11,rbf,10,discretize,None,Synthetic,5.246786342991982,0.22157434981139568,0.008312816464877575,0.3062317463786234,0.10346375145301472,0.10455232574086931
atom.csv,17,5,nearest_neighbors,24,kmeans,None,Synthetic,0.24893155200697947,0.5630444305381728,0.12513059690623868,0.2929930516119023,0.39414718612570204,0.3976669928676077
atom.csv,31,9,nearest_neighbors,6,discretize,None,Synthetic,0.07635204899997916,0.536680225281602,0.07228307848851302,0.24215395796624578,0.33595336239253676,0.34226020927595163
atom.csv,2,6,nearest_neighbors,25,discretize,None,Synthetic,0.0560902520082891,1.0,1.0,0.30617793823005235,1.0,1.0
atom.csv,22,8,nearest_neighbors,35,kmeans,None,Synthetic,0.4540302069945028,0.5466583229036296,0.09228517398408682,0.2884762795104,0.36372343534174345,0.368228987633657
atom.csv,11,10,rbf,36,discretize,None,Synthetic,2.643140511994716,0.7781226533166458,0.5559980179468096,0.6004929628263647,0.5507932643780978,0.553066062145705
atom.csv,17,27,rbf,16,kmeans,None,Synthetic,3.563741635007318,0.7684011264080101,0.536538655959633,0.601596850243102,0.4993285504458743,0.5031491394860453
atom.csv,9,17,nearest_neighbors,18,discretize,None,Synthetic,0.13372101499408018,0.6264486858573216,0.252196969294903,0.26951477425693676,0.4888300057583439,0.4906520726660802
atom.csv,26,8,nearest_neighbors,30,kmeans,None,Synthetic,0.7429350099992007,0.5400657071339174,0.07906972787162037,0.2882946265824719,0.34815910252188637,0.35345174736889723
atom.csv,4,18,rbf,11,kmeans,None,Synthetic,4.105789568988257,0.7303003754693367,0.460472309068332,0.44261755635217154,0.4914612606802256,0.49251979904305004
atom.csv,4,11,nearest_neighbors,9,kmeans,None,Synthetic,0.18480585700308438,0.8353535669586983,0.6705708498487617,0.44448610720240544,0.7181895203975314,0.7187396724902959
atom.csv,4,13,rbf,34,kmeans,None,Synthetic,2.0579474279948045,0.7303003754693367,0.460472309068332,0.44261755635217154,0.49146126068022555,0.49251979904305
atom.csv,33,12,rbf,3,discretize,None,Synthetic,1.283427266011131,0.7589893617021276,0.5176869977786489,0.5935132630958659,0.4431324899749604,0.45082930834309426
atom.csv,37,15,nearest_neighbors,26,kmeans,None,Synthetic,1.0464638130069943,0.5277565707133918,0.05439387228030541,0.29257322213274894,0.31652538000303365,0.32390497849417554
atom.csv,11,21,rbf,29,discretize,None,Synthetic,2.1142916199896717,0.7779849812265331,0.5557223671388056,0.6002369408230601,0.550508705571546,0.5527815996238383
atom.csv,20,10,rbf,36,discretize,None,Synthetic,1.7253479100036202,0.7664424280350438,0.5326108767143825,0.6070570096460796,0.48988892691533065,0.4943414151389952
atom.csv,6,27,nearest_neighbors,22,discretize,None,Synthetic,0.0528844329965068,0.6887234042553192,0.37696038163068724,0.18954480913671568,0.571835850481117,0.572947415375358
atom.csv,13,7,rbf,36,discretize,None,Synthetic,3.409785086012562,0.7741207759699624,0.5479852725940934,0.609196382252271,0.5323193611796442,0.5350763962200763
atom.csv,16,18,nearest_neighbors,3,discretize,None,Synthetic,0.46576249500503764,0.5543178973717147,0.10783413242103632,-0.13867713311716132,0.2904351370612386,0.29513045141496697
