dataset,max_eps,eps,min_samples,cluster_method,xi,metric,algorithm,leaf_size,imputation,dataset_type,Train_time,rand_score,adjusted_rand_score,adjusted_mutual_info_score,normalized_mutual_info_score,silhouette_score,davies_bouldin_score,calinski_harabasz_score,dunn_score,c_index_score,ratkowsky_lance_score,mc_clain_rao_score
dense-disk-3000.csv,6.92376460162092e+18,8.469706029953442e+18,17,xi,0.2323530140222487,l1,kd_tree,37,,Synthetic,12.748270472977312,0.5971710383336585,0.0,5.550396245714397e-15,2.9048180801018665e-15,0.0,0.0,0.0,0.0,1.4484126984126984,7.039599875721848e-18,0.0
dense-disk-3000.csv,1.7352195110587535e+18,1.9724604001624924e+18,11,xi,0.4521721909623873,euclidean,auto,29,,Synthetic,13.64573502994608,0.5971710383336585,0.0,5.550396245714397e-15,2.9048180801018665e-15,0.0,0.0,0.0,0.0,1.4484126984126984,7.039599875721848e-18,0.0
dense-disk-3000.csv,8.299890526831504e+18,5.926482306621468e+18,7,xi,0.14101393725674632,l2,kd_tree,6,,Synthetic,13.078423551982267,0.5595885753334278,-0.004826068195645935,0.07632794951043596,0.08419803142174398,-0.6360225928614501,1.3074436284070812,12.703584365498187,0.07778451865419685,0.016505986592232246,0.04473377397625115,6.016858974433688
dense-disk-3000.csv,3.9785612124414367e+18,5.549707042810512e+18,19,xi,0.684737933636255,l1,auto,41,,Synthetic,10.537926068995148,0.5971710383336585,0.0,5.550396245714397e-15,2.9048180801018665e-15,0.0,0.0,0.0,0.0,1.4484126984126984,7.039599875721848e-18,0.0
dense-disk-3000.csv,1.757988847838125e+18,7.50251939084474e+18,4,xi,0.2998196596110255,euclidean,kd_tree,36,,Synthetic,12.91318566899281,0.5822632449642431,0.014728377840948291,0.05983237413797029,0.07299310704137689,-0.7104711926894045,1.4379253111216643,5.794728483675447,0.4979143343775815,0.007346299583688498,0.030761461228187268,8.024829264050348
dense-disk-3000.csv,8.016107468153555e+18,3.458185184677754e+18,3,dbscan,0.9297318915940384,l2,brute,3,,Synthetic,9.858111471985467,0.5971710383336585,0.0,5.550396245714397e-15,2.9048180801018665e-15,0.0,0.0,0.0,0.0,1.4484126984126984,7.039599875721848e-18,0.0
dense-disk-3000.csv,8.194829779364744e+18,1.1917344896295148e+18,2,xi,0.4166696837248611,euclidean,auto,7,,Synthetic,12.884512966964396,0.4768725443504517,-0.007039114221838782,0.07070325291159092,0.1218274221573496,-0.3189357217222123,1.5315361771044531,3.086219537028054,0.08602866125766802,0.002197842255922409,0.01913828230945637,0.12240502151440115
dense-disk-3000.csv,4.9821498766073344e+17,3.720307919568691e+18,15,xi,0.20662925844192725,l1,auto,37,,Synthetic,15.972030038945375,0.5971710383336585,0.0,5.550396245714397e-15,2.9048180801018665e-15,0.0,0.0,0.0,0.0,1.4484126984126984,7.039599875721848e-18,0.0
dense-disk-3000.csv,7.525340369720659e+18,6.247710572135839e+18,5,dbscan,0.10258242301792901,l2,auto,14,,Synthetic,7.619584455038421,0.5971710383336585,0.0,5.550396245714397e-15,2.9048180801018665e-15,0.0,0.0,0.0,0.0,1.4484126984126984,7.039599875721848e-18,0.0
dense-disk-3000.csv,9.561981041582162e+17,1.8111274400100728e+18,19,dbscan,0.5082207241865301,manhattan,kd_tree,16,,Synthetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense-disk-3000.csv,4.748624332399394e+18,5.175711169581557e+18,5,xi,0.53362517999493,l1,auto,6,,Synthetic,12.439005095977334,0.5971710383336585,0.0,5.550396245714397e-15,2.9048180801018665e-15,0.0,0.0,0.0,0.0,1.4484126984126984,7.039599875721848e-18,0.0
